id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,1043373,0,0,1295,964,668.25,256.59375,1.0546842813491821,0.9618151187896729,0,0,1296,966
1,2501,809,646,47,71,830.25,649.03125,0.9964263439178467,0.9900596141815186,0,0,1296,966
2,1690,962,934,75,31,992.25,950.90625,0.9908827543258667,0.9929245114326477,0,0,1296,966
3,1739,1182,256,47,56,1194.75,286.78125,0.9906333684921265,0.9885649085044861,0,0,1296,966
4,7510,398,503,78,121,465.75,558.46875,0.9904913306236267,0.9867532253265381,0,0,1296,966
5,5061,1139,256,90,138,1194.75,286.78125,0.9864124059677124,0.9751467704772949,0,0,1296,966
6,13097,796,270,120,168,830.25,377.34375,0.9843037724494934,0.9743956327438354,0,0,1296,966
7,5178,693,751,66,127,749.25,830.15625,0.9836993217468262,0.9827718138694763,0,0,1296,966
8,3759,245,365,64,77,263.25,377.34375,0.9834704995155334,0.9849405288696289,0,0,1296,966
9,5070,619,238,103,96,627.75,286.78125,0.981671929359436,0.9779598116874695,0,0,1296,966
10,7509,249,0,116,79,344.25,15.09375,0.9812365770339966,0.9824399352073669,0,0,1296,966
11,2690,1084,73,59,77,1113.75,135.84375,0.9808135628700256,0.9819654226303101,0,0,1296,966
12,8697,301,258,135,108,344.25,316.96875,0.9801852703094482,0.9789557456970215,0,0,1296,966
13,15215,479,851,195,113,587.25,920.71875,0.9793609380722046,0.9581398367881775,0,0,1296,966
14,1146,952,78,41,57,951.75,135.84375,0.9792332649230957,0.9852814078330994,0,0,1296,966
15,6022,370,362,101,96,384.75,407.53125,0.9779410362243652,0.9814083576202393,0,0,1296,966
16,13988,218,171,111,188,303.75,256.59375,0.9768543243408203,0.9706234335899353,0,0,1296,966
17,2068,916,432,56,49,951.75,467.90625,0.9761273860931396,0.9822711944580078,0,0,1296,966
18,1711,164,925,57,40,182.25,950.90625,0.9754899740219116,0.9872167110443115,0,0,1296,966
19,2665,1219,203,64,62,1235.25,226.40625,0.9747742414474487,0.9803266525268555,0,0,1296,966
20,1070,285,105,33,43,303.75,135.84375,0.9742296934127808,0.9842154383659363,0,0,1296,966
21,4213,828,149,92,65,830.25,196.21875,0.9722428917884827,0.9830548167228699,0,0,1296,966
22,25003,633,314,170,207,789.75,467.90625,0.972173810005188,0.9683302640914917,0,0,1296,966
23,2188,761,878,100,27,789.75,890.53125,0.970724880695343,0.9805693626403809,0,0,1296,966
24,1417,619,237,39,53,627.75,256.59375,0.9705416560173035,0.9797627329826355,0,0,1296,966
25,2596,863,65,69,64,870.75,105.65625,0.9702039957046509,0.9805639982223511,0,0,1296,966
26,2251,905,94,49,61,911.25,135.84375,0.9699090123176575,0.9780797958374023,0,0,1296,966
27,2334,381,216,53,65,384.75,256.59375,0.9698671102523804,0.9800339937210083,0,0,1296,966
28,1569,1234,449,39,53,1235.25,467.90625,0.9689359664916992,0.9822784662246704,0,0,1296,966
29,11462,556,782,131,116,587.25,860.34375,0.9684373140335083,0.9725425839424133,0,0,1296,966
30,6950,325,69,79,135,384.75,135.84375,0.9684075117111206,0.9758385419845581,0,0,1296,966
31,24480,607,551,175,215,708.75,588.65625,0.968252420425415,0.9581281542778015,0,0,1296,966
32,11056,531,625,118,153,627.75,679.21875,0.9678866267204285,0.9728043079376221,0,0,1296,966
33,4204,381,51,66,100,384.75,75.46875,0.9678688049316406,0.978112518787384,0,0,1296,966
34,24059,633,315,169,442,789.75,377.34375,0.9672079086303711,0.9574147462844849,0,0,1296,966
35,1269,673,282,50,32,708.75,286.78125,0.9670605063438416,0.9890539646148682,0,0,1296,966
36,28059,750,2,241,255,830.25,75.46875,0.9660829305648804,0.9541918039321899,0,0,1296,966
37,2803,1187,0,50,66,1194.75,45.28125,0.9660627841949463,0.9777148962020874,0,0,1296,966
38,665,454,938,37,27,465.75,950.90625,0.964310884475708,0.9806835055351257,0,0,1296,966
39,19923,416,0,200,172,506.25,15.09375,0.9634577035903931,0.9557999968528748,0,0,1296,966
40,2471,1231,518,53,73,1275.75,528.28125,0.9611488580703735,0.9744816422462463,0,0,1296,966
41,2997,1187,0,92,67,1194.75,15.09375,0.9610148668289185,0.9532985091209412,0,0,1296,966
42,655,1149,709,32,26,1154.25,709.40625,0.9608607888221741,0.9893778562545776,0,0,1296,966
43,3392,423,205,79,76,425.25,226.40625,0.9598443508148193,0.9704176187515259,0,0,1296,966
44,1186,1233,0,49,36,1275.75,15.09375,0.9595648646354675,0.9849372506141663,0,0,1296,966
45,12457,482,0,131,171,506.25,15.09375,0.9594405293464661,0.9513704180717468,0,0,1296,966
46,5847,1105,592,82,107,1154.25,679.21875,0.9591748714447021,0.96968674659729,0,0,1296,966
47,1026,404,640,36,35,425.25,649.03125,0.9585197567939758,0.9902818202972412,0,0,1296,966
48,1486,1159,335,34,59,1194.75,347.15625,0.9584537148475647,0.9866399168968201,0,0,1296,966
49,1218,918,784,96,26,951.75,799.96875,0.9582603573799133,0.982899010181427,0,0,1296,966
50,10181,1227,7,68,227,1235.25,105.65625,0.9578224420547485,0.966019868850708,0,0,1296,966
51,740,295,943,39,22,303.75,950.90625,0.957278847694397,0.9732977151870728,0,0,1296,966
52,1147,1044,41,40,41,1073.25,45.28125,0.9569257497787476,0.9887640476226807,0,0,1296,966
53,652,1097,247,25,32,1113.75,256.59375,0.9568837285041809,0.9863013625144958,0,0,1296,966
54,15448,473,0,243,233,587.25,166.03125,0.9567664861679077,0.9541893005371094,0,0,1296,966
55,1682,624,290,54,44,668.25,316.96875,0.9564867615699768,0.981753945350647,0,0,1296,966
56,627,5,388,30,28,20.25,407.53125,0.9553647041320801,0.9841772317886353,0,0,1296,966
57,1329,1257,849,32,60,1275.75,890.53125,0.9552493691444397,0.981426477432251,0,0,1296,966
58,1200,1063,424,32,43,1073.25,437.71875,0.9545754194259644,0.9875724911689758,0,0,1296,966
59,1452,0,173,34,59,20.25,226.40625,0.954552173614502,0.9795501232147217,0,0,1296,966
60,2693,908,369,56,68,951.75,407.53125,0.954231321811676,0.964350700378418,0,0,1296,966
61,2143,981,430,36,75,992.25,498.09375,0.9537464380264282,0.9829099178314209,0,0,1296,966
62,877,743,66,41,34,749.25,75.46875,0.9534891843795776,0.9841449856758118,0,0,1296,966
63,11858,430,657,133,145,546.75,739.59375,0.9532277584075928,0.9568155407905579,0,0,1296,966
64,980,1087,33,32,37,1113.75,45.28125,0.9528090953826904,0.9768611788749695,0,0,1296,966
65,460,1090,278,28,21,1113.75,286.78125,0.9526923298835754,0.9848812222480774,0,0,1296,966
66,1421,1248,681,47,61,1275.75,709.40625,0.9520395994186401,0.9797768592834473,0,0,1296,966
67,7627,746,728,95,124,749.25,769.78125,0.951685905456543,0.9727425575256348,0,0,1296,966
68,759,691,932,38,33,708.75,950.90625,0.9514777660369873,0.9817232489585876,0,0,1296,966
69,2752,1220,449,54,67,1235.25,498.09375,0.9496142864227295,0.9506567120552063,0,0,1296,966
70,383,1063,119,23,20,1073.25,135.84375,0.9487388134002686,0.9844961166381836,0,0,1296,966
71,657,78,378,28,30,101.25,407.53125,0.9487323760986328,0.9758307933807373,0,0,1296,966
72,1025,800,610,31,48,830.25,618.84375,0.9485623836517334,0.9806763529777527,0,0,1296,966
73,738,406,818,28,32,425.25,830.15625,0.9484721422195435,0.98525470495224,0,0,1296,966
74,1516,692,96,51,40,708.75,105.65625,0.9476637840270996,0.9765012860298157,0,0,1296,966
75,27813,485,769,202,194,587.25,950.90625,0.947533130645752,0.9589603543281555,0,0,1296,966
76,513,1017,43,28,25,1032.75,45.28125,0.9474036693572998,0.9807322025299072,0,0,1296,966
77,1484,1139,287,46,43,1154.25,316.96875,0.9471609592437744,0.9773182272911072,0,0,1296,966
78,2118,1110,522,50,59,1113.75,558.46875,0.9466429948806763,0.9762459397315979,0,0,1296,966
79,2145,808,480,63,69,830.25,498.09375,0.9461650848388672,0.9738051295280457,0,0,1296,966
80,13877,1089,818,114,146,1113.75,860.34375,0.9441828727722168,0.9500421285629272,0,0,1296,966
81,1798,291,335,53,48,344.25,377.34375,0.9439316987991333,0.9807480573654175,0,0,1296,966
82,4768,411,272,105,80,506.25,347.15625,0.9436858892440796,0.9643959403038025,0,0,1296,966
83,3466,17,209,99,93,101.25,226.40625,0.9427346587181091,0.9656542539596558,0,0,1296,966
84,1241,159,0,65,37,182.25,15.09375,0.9424159526824951,0.9714738726615906,0,0,1296,966
85,1734,1060,770,51,51,1073.25,799.96875,0.9424018859863281,0.9782857298851013,0,0,1296,966
86,670,675,891,49,17,708.75,890.53125,0.9414617419242859,0.9807692170143127,0,0,1296,966
87,5550,307,378,62,132,344.25,498.09375,0.9396498799324036,0.96875,0,0,1296,966
88,1699,1263,328,32,64,1275.75,377.34375,0.9395707845687866,0.9733178615570068,0,0,1296,966
89,673,1164,219,31,29,1194.75,226.40625,0.9395137429237366,0.9749631881713867,0,0,1296,966
90,699,937,154,37,28,951.75,166.03125,0.9385925531387329,0.9576869010925293,0,0,1296,966
91,2407,24,885,77,54,60.75,920.71875,0.9382939338684082,0.9657282829284668,0,0,1296,966
92,836,1220,486,32,31,1235.25,498.09375,0.9372752904891968,0.9810874462127686,0,0,1296,966
93,5938,1025,717,202,114,1194.75,799.96875,0.937009334564209,0.9536685943603516,0,0,1296,966
94,429,136,774,29,30,141.75,799.96875,0.936607301235199,0.9884259104728699,0,0,1296,966
95,607,119,406,28,27,141.75,407.53125,0.9362876415252686,0.9803921580314636,0,0,1296,966
96,528,704,853,28,29,708.75,860.34375,0.9353658556938171,0.9720670580863953,0,0,1296,966
97,755,1096,246,27,50,1113.75,256.59375,0.9350199699401855,0.9528796076774597,0,0,1296,966
98,7522,514,223,98,102,587.25,286.78125,0.934058666229248,0.9602916240692139,0,0,1296,966
99,2697,386,712,50,85,425.25,769.78125,0.9323287010192871,0.9532946944236755,0,0,1296,966
100,726,332,216,26,38,344.25,226.40625,0.9321756362915039,0.982191801071167,0,0,1296,966
101,575,221,99,21,33,222.75,105.65625,0.9321613311767578,0.9776632189750671,0,0,1296,966
102,991,224,663,41,32,263.25,679.21875,0.9320453405380249,0.9722222089767456,0,0,1296,966
103,3738,710,526,67,74,749.25,588.65625,0.9313845038414001,0.9588034749031067,0,0,1296,966
104,2287,1261,328,34,100,1275.75,407.53125,0.9312937259674072,0.965709388256073,0,0,1296,966
105,813,908,153,30,35,911.25,166.03125,0.9283310174942017,0.9671931862831116,0,0,1296,966
106,4569,93,471,79,85,101.25,498.09375,0.9281977415084839,0.9599228501319885,0,0,1296,966
107,1317,23,896,43,43,60.75,920.71875,0.9272423386573792,0.976779043674469,0,0,1296,966
108,4578,461,345,60,117,465.75,377.34375,0.9257034063339233,0.9541186690330505,0,0,1296,966
109,3474,510,523,84,139,587.25,528.28125,0.9253748059272766,0.9663366079330444,0,0,1296,966
110,101,869,10,7,14,870.75,15.09375,0.9245782494544983,1.0,0,0,1296,966
111,624,507,705,21,34,506.25,709.40625,0.9240106344223022,0.976190447807312,0,0,1296,966
112,1254,807,720,47,44,830.25,739.59375,0.9235842227935791,0.9717868566513062,0,0,1296,966
113,3977,807,647,117,117,830.25,739.59375,0.9234970808029175,0.9555500745773315,0,0,1296,966
114,787,409,760,27,37,425.25,769.78125,0.9234542846679688,0.9711055159568787,0,0,1296,966
115,311,13,681,18,23,20.25,679.21875,0.9232445955276489,0.9745222926139832,0,0,1296,966
116,332,933,304,24,19,951.75,316.96875,0.9231171607971191,0.9791044592857361,0,0,1296,966
117,2382,424,205,78,47,425.25,226.40625,0.9219229817390442,0.9706611633300781,0,0,1296,966
118,637,978,388,26,32,992.25,407.53125,0.9219039678573608,0.97364342212677,0,0,1296,966
119,412,336,839,26,20,344.25,860.34375,0.9215327501296997,0.9759036302566528,0,0,1296,966
120,726,368,614,36,24,384.75,618.84375,0.9210377335548401,0.9754433631896973,0,0,1296,966
121,335,19,498,21,20,20.25,498.09375,0.9209312200546265,0.976401150226593,0,0,1296,966
122,1206,362,881,36,61,384.75,920.71875,0.9206950068473816,0.9640816450119019,0,0,1296,966
123,678,449,172,32,25,465.75,196.21875,0.9205226898193359,0.9795022010803223,0,0,1296,966
124,4355,416,0,68,85,465.75,45.28125,0.9176205992698669,0.9593075513839722,0,0,1296,966
125,1244,860,713,70,26,911.25,739.59375,0.9175851941108704,0.9714058637619019,0,0,1296,966
126,5193,619,7,103,327,708.75,286.78125,0.9173240661621094,0.9591301083564758,0,0,1296,966
127,602,1188,695,24,32,1194.75,709.40625,0.9161469340324402,0.9659090638160706,0,0,1296,966
128,2314,918,179,48,78,951.75,196.21875,0.9157763719558716,0.9586672186851501,0,0,1296,966
129,2443,300,259,46,78,303.75,286.78125,0.914995551109314,0.9597128033638,0,0,1296,966
130,2120,1229,906,53,58,1275.75,920.71875,0.9148336052894592,0.9620370268821716,0,0,1296,966
131,903,240,110,39,45,263.25,135.84375,0.913413405418396,0.9505376219749451,0,0,1296,966
132,2392,708,3,51,65,749.25,45.28125,0.9128158092498779,0.9604243040084839,0,0,1296,966
133,770,584,331,26,38,587.25,347.15625,0.9122819900512695,0.9705128073692322,0,0,1296,966
134,841,368,614,36,44,384.75,618.84375,0.912110447883606,0.9512194991111755,0,0,1296,966
135,521,1101,4,25,26,1113.75,15.09375,0.9112030267715454,0.9827916026115417,0,0,1296,966
136,1382,108,64,37,100,141.75,75.46875,0.9105128049850464,0.9602272510528564,0,0,1296,966
137,751,1132,81,28,32,1154.25,105.65625,0.91010981798172,0.980211079120636,0,0,1296,966
138,2073,411,283,60,47,465.75,316.96875,0.9097707271575928,0.9511048197746277,0,0,1296,966
139,2354,809,119,69,48,830.25,135.84375,0.9097315669059753,0.954113245010376,0,0,1296,966
140,14887,250,0,155,205,384.75,166.03125,0.9077463150024414,0.9556403756141663,0,0,1296,966
141,558,415,484,32,22,425.25,498.09375,0.9073331356048584,0.9770318269729614,0,0,1296,966
142,1121,433,242,37,40,465.75,256.59375,0.9069772958755493,0.9598953723907471,0,0,1296,966
143,2634,114,497,58,58,141.75,498.09375,0.906762957572937,0.9611505270004272,0,0,1296,966
144,1154,375,830,37,42,384.75,860.34375,0.9062414169311523,0.9616368412971497,0,0,1296,966
145,1968,284,75,35,74,303.75,135.84375,0.9045944213867188,0.9510869383811951,0,0,1296,966
146,334,624,575,25,24,627.75,588.65625,0.9030907154083252,0.9705014824867249,0,0,1296,966
147,5222,908,369,65,112,951.75,437.71875,0.9030055999755859,0.9567577838897705,0,0,1296,966
148,697,414,477,34,30,425.25,498.09375,0.9025123119354248,0.9526462554931641,0,0,1296,966
149,2060,1057,131,61,53,1073.25,166.03125,0.9017744064331055,0.9586108326911926,0,0,1296,966
150,1311,848,631,39,45,870.75,649.03125,0.901703953742981,0.9597315192222595,0,0,1296,966
151,293,420,187,16,23,425.25,196.21875,0.8997758626937866,0.95652174949646,0,0,1296,966
